Date/Time,Step Count (count) 
2018-06-12 00:00:00,2600
2018-06-13 00:00:00,2684
2018-06-14 00:00:00,9443
2018-06-15 00:00:00,6834
2018-06-16 00:00:00,6851
2018-06-17 00:00:00,9845
2018-06-18 00:00:00,3545
2018-06-19 00:00:00,3576
2018-06-20 00:00:00,6201
2018-06-21 00:00:00,13827
2018-06-22 00:00:00,9432
2018-06-23 00:00:00,10531
2018-06-24 00:00:00,13709
2018-06-25 00:00:00,7261
2018-06-26 00:00:00,907
2018-06-27 00:00:00,3314
2018-06-28 00:00:00,2748
2018-06-29 00:00:00,8184
2018-06-30 00:00:00,5769
2018-07-01 00:00:00,8023
2018-07-02 00:00:00,4458
2018-07-03 00:00:00,11659
2018-07-04 00:00:00,9852
2018-07-05 00:00:00,10439
2018-07-06 00:00:00,9503
2018-07-07 00:00:00,3891
2018-07-08 00:00:00,7748
2018-07-09 00:00:00,1323
2018-07-10 00:00:00,1338
2018-07-11 00:00:00,4762
2018-07-12 00:00:00,4748
2018-07-13 00:00:00,4572
2018-07-14 00:00:00,9031
2018-07-15 00:00:00,8375
2018-07-16 00:00:00,3450
2018-07-17 00:00:00,1051
2018-07-18 00:00:00,3566
2018-07-19 00:00:00,5048
2018-07-20 00:00:00,5972
2018-07-21 00:00:00,5007
2018-07-22 00:00:00,7066
2018-07-23 00:00:00,9386
2018-07-24 00:00:00,3105
2018-07-25 00:00:00,1516
2018-07-26 00:00:00,3722
2018-07-27 00:00:00,6346
2018-07-28 00:00:00,2812
2018-07-29 00:00:00,3799
2018-07-30 00:00:00,3701
2018-07-31 00:00:00,10
2018-08-01 00:00:00,19728
2018-08-02 00:00:00,5362
2018-08-03 00:00:00,5932
2018-08-04 00:00:00,10137
2018-08-05 00:00:00,2578
2018-08-06 00:00:00,5314
2018-08-07 00:00:00,3236
2018-08-08 00:00:00,4783
2018-08-09 00:00:00,10335
2018-08-10 00:00:00,9137
2018-08-11 00:00:00,1015
2018-08-12 00:00:00,1237
2018-08-13 00:00:00,6404
2018-08-14 00:00:00,1307
2018-08-15 00:00:00,4199
2018-08-16 00:00:00,3038
2018-08-17 00:00:00,3037
2018-08-18 00:00:00,2059
2018-08-19 00:00:00,3307
2018-08-20 00:00:00,11358
2018-08-21 00:00:00,6640
2018-08-22 00:00:00,5469
2018-08-23 00:00:00,6426
2018-08-24 00:00:00,1921
2018-08-25 00:00:00,5880
2018-08-26 00:00:00,3752
2018-08-27 00:00:00,10852
2018-08-28 00:00:00,6831
2018-08-29 00:00:00,15292
2018-08-30 00:00:00,969
2018-08-31 00:00:00,3483
2018-09-01 00:00:00,7683
2018-09-02 00:00:00,5453
2018-09-03 00:00:00,8384
2018-09-04 00:00:00,2898
2018-09-05 00:00:00,7242
2018-09-06 00:00:00,5364
2018-09-07 00:00:00,5050
2018-09-08 00:00:00,9832
2018-09-09 00:00:00,7153
2018-09-10 00:00:00,6193
2018-09-11 00:00:00,5792
2018-09-12 00:00:00,4809
2018-09-13 00:00:00,9209
2018-09-14 00:00:00,4187
2018-09-15 00:00:00,6918
2018-09-16 00:00:00,588
2018-09-17 00:00:00,2729
2018-09-18 00:00:00,4101
2018-09-19 00:00:00,2563
2018-09-20 00:00:00,3332
2018-09-21 00:00:00,2728
2018-09-22 00:00:00,9634
2018-09-23 00:00:00,6548
2018-09-24 00:00:00,9025
2018-09-25 00:00:00,8145
2018-09-26 00:00:00,9506
2018-09-27 00:00:00,4896
2018-09-28 00:00:00,7151
2018-09-29 00:00:00,22376
2018-09-30 00:00:00,19833
2018-10-01 00:00:00,20783
2018-10-02 00:00:00,23546
2018-10-03 00:00:00,9880
2018-10-04 00:00:00,17370
2018-10-05 00:00:00,7405
2018-10-06 00:00:00,7096
2018-10-07 00:00:00,4656
2018-10-08 00:00:00,10466
2018-10-09 00:00:00,3621
2018-10-10 00:00:00,5868
2018-10-11 00:00:00,5868
2018-10-12 00:00:00,5868
2018-10-13 00:00:00,5868
2018-10-14 00:00:00,5868
2018-10-15 00:00:00,5868
2018-10-16 00:00:00,8180
2018-10-17 00:00:00,4517
2018-10-18 00:00:00,8300
2018-10-19 00:00:00,4461
2018-10-20 00:00:00,6582
2018-10-21 00:00:00,6582
2018-10-22 00:00:00,6582
2018-10-23 00:00:00,8691
2018-10-24 00:00:00,7067
2018-10-25 00:00:00,4121
2018-10-26 00:00:00,13865
2018-10-27 00:00:00,6593
2018-10-28 00:00:00,6868
2018-10-29 00:00:00,6790
2018-10-30 00:00:00,7550
2018-10-31 00:00:00,8350
2018-11-01 00:00:00,3566
2018-11-02 00:00:00,2531
2018-11-03 00:00:00,2119
2018-11-04 00:00:00,4723
2018-11-05 00:00:00,8179
2018-11-06 00:00:00,9373
2018-11-07 00:00:00,2945
2018-11-08 00:00:00,9128
2018-11-09 00:00:00,2814
2018-11-10 00:00:00,2698
2018-11-11 00:00:00,3628
2018-11-12 00:00:00,6716
2018-11-13 00:00:00,2639
2018-11-14 00:00:00,1565
2018-11-15 00:00:00,1695
2018-11-16 00:00:00,2083
2018-11-17 00:00:00,5752
2018-11-18 00:00:00,3302
2018-11-19 00:00:00,4710
2018-11-20 00:00:00,2173
2018-11-21 00:00:00,2444
2018-11-22 00:00:00,4487
2018-11-23 00:00:00,5780
2018-11-24 00:00:00,7294
2018-11-25 00:00:00,6317
2018-11-26 00:00:00,4506
2018-11-27 00:00:00,707
2018-11-28 00:00:00,1850
2018-11-29 00:00:00,4058
2018-11-30 00:00:00,4211
2018-12-01 00:00:00,8962
2018-12-02 00:00:00,3289
2018-12-03 00:00:00,3090
2018-12-04 00:00:00,5138
2018-12-05 00:00:00,1750
2018-12-06 00:00:00,5870
2018-12-07 00:00:00,4986
2018-12-08 00:00:00,1584
2018-12-09 00:00:00,1860
2018-12-10 00:00:00,4405
2018-12-11 00:00:00,93
2018-12-12 00:00:00,3978
2018-12-13 00:00:00,2362
2018-12-14 00:00:00,2246
2018-12-15 00:00:00,5732
2018-12-16 00:00:00,6937
2018-12-17 00:00:00,2433
2018-12-18 00:00:00,909
2018-12-19 00:00:00,3470
2018-12-20 00:00:00,2138
2018-12-21 00:00:00,9566
2018-12-22 00:00:00,10919
2018-12-23 00:00:00,5468
2018-12-24 00:00:00,8312
2018-12-25 00:00:00,5971
2018-12-26 00:00:00,8572
2018-12-27 00:00:00,11154
2018-12-28 00:00:00,3191
2018-12-29 00:00:00,4511
2018-12-30 00:00:00,6944
2018-12-31 00:00:00,14642
2019-01-01 00:00:00,6229
2019-01-02 00:00:00,3244
2019-01-03 00:00:00,1520
2019-01-04 00:00:00,3866
2019-01-05 00:00:00,448
2019-01-06 00:00:00,2305
2019-01-07 00:00:00,4076
2019-01-08 00:00:00,2352
2019-01-09 00:00:00,2881
2019-01-10 00:00:00,1757
2019-01-11 00:00:00,8489
2019-01-12 00:00:00,6061
2019-01-13 00:00:00,6489
2019-01-14 00:00:00,7293
2019-01-15 00:00:00,7456
2019-01-16 00:00:00,8154
2019-01-17 00:00:00,3473
2019-01-18 00:00:00,2381
2019-01-19 00:00:00,2103
2019-01-20 00:00:00,2398
2019-01-21 00:00:00,2290
2019-01-22 00:00:00,1839
2019-01-23 00:00:00,3480
2019-01-24 00:00:00,7313
2019-01-25 00:00:00,9190
2019-01-26 00:00:00,5247
2019-01-27 00:00:00,10102
2019-01-28 00:00:00,2860
2019-01-29 00:00:00,4895
2019-01-30 00:00:00,3408
2019-01-31 00:00:00,3865
2019-02-01 00:00:00,9965
2019-02-02 00:00:00,13179
2019-02-03 00:00:00,4325
2019-02-04 00:00:00,5081
